content,label,at                       
Mantaaaaap,1,43960.45069
Ok,1,43960.45208
Bagus..,1,43960.45208
Membantu pengguna bpjs,1,43960.45417
Terlalu sering update,-1,43960.45486
Mantap,1,43960.45694
Ini tolong jelaskan ya.kenapa sampe sekarang stlh update tidak bisa masuk2 ya kalau login.captcha nya aj tidak muncul.,-1,43960.45764
Terlalu sering minta update. kalau tidak diupdate   tidak bisa login. Seharusnya aplikasi milik BUMN jangan kalah dg aplikasi keluaran startup swasta,-1,43960.46667
ok,1,43960.47292
Selalu tulisannya eror  tidak membantu,-1,43960.47778
Sangat sangat sangat membantu,1,43960.48056
Maaf bos.... Sebenarnya bisa digunakan apa tidak sih aplikasi ini... Setiap kali mau masuk kok tidak bisa bisa...,-1,43960.48264
Tolong di perbaiki Aplikasinya  sampai saat ini belum bisa di buka  tolong di respon.,-1,43960.48681
Good,1,43960.48958
Mantap,1,43960.49236
Update moloo  tidak di update tidak bisa buka šŸ˜£,-1,43960.49444
Kualitas aplikasi  support,-1,43960.49444
Sangat membantu,1,43960.49444
aplikasi yang bgus membantu masyarakat,1,43960.49514
Sangat membantu,1,43960.49653
Kebanyakan update. Terlalu sering padahal Ini aplikasi layanan masyarakat,-1,43960.49653
Selalu terus terusan minta diperbaharui aplikasinya  maka malas menggunakan aplikasi jkn.,-1,43960.49861
Sangat membantu,1,43960.49861
mantappp,1,43960.5
Good,1,43960.50278
Aplikasi nya bagus,1,43960.50764
Payah,-1,43960.50903
Ok sangat. Berguna,1,43960.5125
Entah jaringan saya atau emang aplikasi ini yang tidak bisa dibuka  sering update tapi susah untuk buka aplikasi,-1,43960.5125
aplikasi tidak guna  tidak bisa dibukak. klaimnya buat mempermudah masyarakat ini malah mempersulit kalau belum bisa online jangan dipaksaian bos šŸ‘?,-1,43960.51528
aplikasi yang sangat membantu  mempermudah transaksi tanpa harus mengantri  mobile jkn semudah telapak tangan memberi solusi ketika diperlukan.. ajiib.. ajiiib.. ajiiib..,1,43960.52083
Keren,1,43960.52222
Kenapa saya tidak bisa liat ngebuka relaksasi pembayaran padahal bulan ke marin mah bisa ya   Tolong donk harus gimana,-1,43960.52292
Tiap buka minta update terus. Mohon untuk di perbaiki,-1,43960.52847
Update terussssss....muter terusssssss,-1,43960.52917
Sangat bermanfaat,1,43960.52986
Oke,1,43960.53056
Sudah cukup baik  hanya harus tetap di tingkatkan lagi kecepatannya,-1,43960.53194
saya pengguna bpjs mandiri kelas 3.selama 4 tahun lebih bpjs saya bserta istri dan anak2 saya menunggak karena alasan tak mampu lagi buat bayar.. di masa pandemi ini di kampungku saya dapat bansos covid19  saya kumpulin uang bansos tsb demi saya bisa membayar lunas bpjs saya yang sudah tak aktif.. meskipun miris saya manfaatkan bantuan tsb demi melunasi tunggakan agar bisa aktifkan kembali bpjs .trmksh,1,43960.53472
Tidak bisa login,1,43960.53472
aplikasi sering mintak untuk update terus sering login,-1,43960.53889
Bagus sistemnya,1,43960.54097
Update terosss..giliran udah di update tidak bisa masok teross...malas kali aku lama lama sama aplikasi kek gini..,-1,43960.54375
Ok,1,43960.54444
Ok,1,43960.54583
Oke,1,43960.54931
Aflikasi ny jelek banyak gangguan šŸ˜†šŸ˜†šŸ˜†,-1,43960.55417
Keseringan update dah kaya bocil labil...payah,-1,43960.55833
Mantul,1,43960.56042
"Terlalu sering update, tidak membantu malah mtidaknggu, menghabiskan kuota sia""",-1,43960.56042
Apdate terus,1,43960.56111
Aplikasi sakit. Mau di komplain sampai mulut berbusa sampai jari tangan patah karena ngetik  tidak bakalan di tanggapin.,1,43960.56181
šŸ‘¨,1,43960.56319
šŸ?,1,43960.56875
Sangat membantu,1,43960.56944
Bermanfaat,1,43960.57361
Ok šŸ‘ŒšŸ’¯šŸ’•,1,43960.57431
Sangad puas,1,43960.57431
Bagus,1,43960.57639
Baik,1,43960.58194
sudah ngurusnya sekarang harus online  terus mobile JKN nya tidak bisa di akses  malah disuruh update KTP nya... ini aplikasi gunanya apa coba.,-1,43960.58333
Bagus,1,43960.58889
Good,1,43960.59097
Selaalu update.bikin emosi ajj.,-1,43960.59236
Membantu,1,43960.6
Dlm situasi dapat menghemat waktu jadi ringkas,1,43960.60278
Minta di perbarui  sudah. Tetap saja  Lelet buanget šŸ˜?šŸ¤¬šŸ¤¬šŸ¤¬,-1,43960.60417
Mantap sangat membantu untuk pengecekan kartu BPJS kesehatan nya sehingga kita bisa tahu aktif atau tidak nya,1,43960.60556
siap,1,43960.60833
Msih kurang sempurna ini aplikasi . Masaj setiap di buka minta abdt,1,43960.61042
Aplikasi eror' walaupun sudah di perbarui,-1,43960.61319
Apakah nomor kartu dari pemerintah dan perusahaan nomor nya sama??,-1,43960.61736
Setiap mau buka aplikasi nya di minta update terosss.. pdhal tidak nyampe sebulan tidak buka apliksi nya,-1,43960.61736
Okelah,1,43960.63264
Mestinya saat pandemi begini kita di permudah mtidaknti nama bayi yang baru lahir  tan0a harus dtng ke office,1,43960.64306
Belum siap nih indonesia buat hal seperti ini ..aplikasi banyak eror nya daripada bener nya ..ya ALLOH...,-1,43960.64931
update yang tidak berguna,-1,43960.65694
Saran dan MOHON MAAF   baik nya manual aja kalau belum MUMPUNI untuk online  TOLONG DI PERMUDAH SAJA...JANGAN DI PERSULIT KASIAN KAMI YANG RAKYAT BIASA INI ... TOLONG LAH JANGAN MEMPERSULIT  MANA KALAU DI RUMAH SAKIT KAMI KAYA DI PANDANG GIMANA GITU KALAU pakai BPJS ... SLALU RUANGAN DI BILANG FFFUUUUUULLLLL   KAN KAMI BAYAR TOH,-1,43960.65833
update terbaru tidak pernah bisa masuk selalu ada tulisan transaksi tidak dapat diselesaikan,-1,43960.6625
lumayan bagus dan sangat bermanpaat   ,1,43960.67361
bagus,1,43960.67917
Minta update mulu. . Lodingnya lama,-1,43960.68056
Sangat membantu,1,43960.68125
Mantap,1,43960.6875
good,1,43960.69653
Setiap bulan minta di abdet,-1,43960.70069
Ok,1,43960.70139
Malah makin mempersulit bukan mempermudah karena saat masuk daftar selalu gagal sedangkan jaringan sudah bagus serta semua data sudah sesuai padahal saya bukan mau daftar baru hanya untuk ngeprint kartu saja,-1,43960.70764
"Kenapa saya tidak bisa login ?? Semua sudah saya cantumkan di pendaftaran tapi,semua tidak bisa di proses selalu ada notifik silahkan coba sesaat lagi,,tolong jangan buat aplikasi stengah""",-1,43960.71458
Up date mulu...setiap kali mau buka pasti suruh up date,-1,43960.72778
Maaf numpang tanya..APA BEROBAT PAKAI KARTU KIS BERBEDA YA PELAYANAN NYA DENGAN yang UMUM...,-1,43960.75625
Terlalu rumit,-1,43960.76042
Sangat mudah dan praktis,1,43960.77153
program bpjsnya uda cukup puass.utk aplikasinya sedang sedang saja,1,43960.77639
Tolonglah aplikasinya diperbaiki....selalu lemot tiap buka aplikasinya,-1,43960.78889
Ok,1,43960.79653
Ok,1,43960.84931
Bagus,1,43960.85486
Menu nya bnyak yang tidak bisa di buka dan sering keluar sendiri. Tolong dong di perbaiki. Tiap kali di buka sering keluar sendiri. Susah di akses aplikasinya,-1,43960.89722
Sangat membantu,1,43960.89861
Ternyata tidak seperti yang dijanjikan,-1,43960.91458
Aplikasi tidak guna gua mau masuk aja registrasi nya susah amat tidak masuk masuk aplikasi tidak guna..,-1,43960.91736
Good,1,43960.91736
Sangat membantu,1,43960.91806
Recaptha nya tidak nongol jadi gabisa login gimana nih!!!,-1,43960.92014
Capeeeeee update mulu   sekalinya dibuka malah tidak bisa kebuka itu aplikasi dh kaya jam eror muter mulu ... gimana siiiiiii ???,-1,43960.93333
Jkn-kis mmg best lah  tnpa jkn kis kami tidak bisa berbuat apa2 untuk mengobati anak kami.,1,43960.94306
