@,di
accent,tekanan
accept,terima
accident,kecelakaan
achievement,prestasi
22nya,dua-duanya
acrany,acaranya
acrnya,acaranya
action,aksi
active,aktif
activity,aktivitas
actually,sebenarnya
actualy,sebenarnya
adult,dewasa
adventure,petualangan
adventurer,petualang
advice,nasehat
7an,tujuan
afternun,sore
again,lagi
agency,perwakilan
agent,agen
aaahh,ah
agktn,angkatan
agree,setuju
agreement,persetujuan
ababil,abglabil
aamiiin,amin
ajeh,saja
ajk,ajak
akeh,banyak
akhire,akhirnya
aktifkn,aktifkan
alhamdlh,alhamdulillah
alhamdulilah,alhamdulillah
almost,hampir
almt,alamat
alone,sendiri
alsn,alasan
also,juga
always,selalu
acc,accord
amazing,mengagumkan
amuh,kamu
ancen,memang
aamiin,amin
ane,saya
anget,hangat
aple,apple
aplksi,aplikasi
aproved,diterima
aqoe,saya
aqw,saya
arep,mau
arived,tiba
article,artikel
artine,artinya
asignment,tugas
assistance,bantuan
assistant,asisten
asyek,asyik
automatic,otomatis
aya,ada
adlah,adalah
"b\kesinambungn""",berkesinambungan
babeh,ayah
balasanya,balasannya
banga,bangga
batre,baterai
bbrapa,beberapa
beach,pantai
adoh,aduh
belike,belikan
bengi,malam
benjol,memar
beraktifitas,beraktivitas
berjln,berjalan
berkmmpuan,berkemampuan
bersaman,bersamaan
beter,better
between,antara
afaik,asfarasiknow
bgn,bangun
after,setelah
bimbel,bimbingan belajar
birthday,ulang tahun
aha,tertawa
bjln,berjalan
bklan,bakalan
blackbery,blackberry
ahaha,haha
blk,balik
ahir,akhir
blon,belum
blsanya,balasannya
ahokncc,ahok
bm,bbm
bnar,benar
aing,saya
bnuh,bunuh
bobonya,tidurnya
bodo,bodoh
boring,bosan
bpak,bapak
brangcut,berangkat
brangkt,berangkat
brenang,berenang
brsih,bersih
bsar,besar
bsh,basah
bth,butuh
buanged,banget
buangedh,banget
buktin,buktikan
buln,bulan
bungks,bungkus
ajep-ajep,duniagemerlap
bwa,bawa
bwah,bawah
bwat,untuk
cah,bocah
call,telepon
aka,dikenaljugasebagai
"car
",mobil
career,karir
caution,perhatian
Ceman,teman
cemungudh,semangat
Cemungut,semangat
akhirx,akhirnya
akika,aku
check,cek
cinto,cinta
cius,serius
ciusan,seriusan
ciyus,serius
clananya,celananya
cmpakan,campakkan
cmpakin,campakkan
cnd,canda
cnda,canda
cnggih,canggih
cngih,canggih
cnt,cinta
cnta,cinta
cntre,tengah
coach,pelatih
coaster,alas
cocokin,cocokkan
cocoknyo,cocoknya
coconut,kelapa
cod,bayar saat pengiriman
coding,mengkode
coklat,cokelat
colecting,mengoleksi
colection,koleksi
colongin,curikan
colonial,kolonial
color,warna
colorful,berwarna-warni
colour,warna
comeback,datang kembali
comedy,komedi
comendable,patut dihargai
comercial,komersil
comes,datang
comfirm,konfirmasi
Comfort,nyaman
comfortable,menyenangkan
comic,komik
coming,datang
comingson,segera datang
comingsoon,segera datang
commando,prajurit
commendable,patut dihargai
comment,komen
commentary,uraian
commercial,komersil
community,komunita
communityny,komunitanya
company,perusahaan
competition,persaingan
complain,mengeluh
complete,lengkap
completes,lengkap
compliment,pujian
compose,menyusun
computing,menghitung
comunity,komunita
comunityny,komunitanya
concept,konsep
concert,konser
condition,kondisi
conditioning,mengkondisikan
conect,menghubungkan
conection,koneksi
confident,yakin
configuration,susunan
confirm,konfirmasi
confius,bingung
confuse,bingung
confused,bingung
congralts,(ucapan) selamat
Congrat,(ucapan) selamat
congrate,(ucapan) selamat
congrats,(ucapan) selamat
consept,konsep
consider,mempertimbangkan
consult,berunding
consultants,konsultan
consumer,konsumen
contac,kontak
contact,kontak
content,isi
contest,kontes
contoe,contohnya
contra,kontra
contract,kontrak
control,kontrol
convention,konvensi
Convoy,konvoi
cook,memasak
copas,copy paste
copot,lepas
corner,sudut
corners,sudut
corola,corolla
correction,koreksi
corridor,koridor
cosmetics,kosmetik
cost,ongkos
costs,ongkos
costum,kostum
could,dapat
council,dewan
countdown,perhitungan detik-detik terakhir
counter,alat perhitungan
country,negara
countryside,daerah pedalaman
couple,pasangan
cousin,sepupu
akko,aku
crazy,gila
akkoh,aku
crt,cerita
crtx,ceritanya
cukop,cukup
Akku,saya
aku,saya
cyus,serius
dalan,jalan
dangerous,bahaya
date,tanggal
datenglah,datanglah
Akuwh,saya
dbls,dibalas
dbnt,dibantu
dduk,duduk
defence,pertahanan
defend,membela
degdeg,deg-degan
degdeg-an,deg-degan
degdegan,deg-degan
degdegser,deg-degan
desek2an,desak-desakan
desekan,desakan
dewe,sendiri
dftar,daftar
Akyu,saya
dgrin,dengarkan
dgrn,dengarkan
dibangain,dibanggakan
digangu,diganggu
diizinin,diberi izin
dikasi,dikasih
dikasinya,dikasihnya
dikit,sedikit
dikls,di kelas
diluk,sebentar
alay,norak
dimkn,dimakan
dimksd,dimaksud
dimn2,dimana-mana
dinstal,diinstall
dipangilnya,dipanggilnya
aljasa,asaljadisaja
disawat,dilempar
disblah,disebelah
discon,diskon
discont,diskon
discount,diskon
disebrang,diseberang
disebuah,disebuah
disekolah,di sekolah
disekolahan,di sekolahan
disekolahin,disekolahkan
diselengarakan,diselenggarakan
diselimutin,diselimuti
disenayan,di senayan
disenen,di senen
disentul,di sentul
diservice,diservis
dishub,Dinas Perhubungan
dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
disi,diisi
disia2in,disia-siakan
disimpen,disimpan
disimpng,disimpang
disinih,disini
disklh,di sekolah
diskonnye,diskonnya
diskony,diskonnya
diskonya,diskonnya
Diskonye,diskonnya
disonoh,disana
distribution,distribusi
district,daerah
distroy,hancur
disturb,ganggu
disurga,di surga
disurh,disuruh
disuru,disuruh
ditabra,ditabrak
ditaktir,ditraktir
ditaman,di taman
ditambahin,ditambahkan
ditanah,di tanah
ditangepin,ditanggapin
ditanggepin,ditanggapin
ditangkep,ditangkap
ditangkepinnya,ditangkapinnya
ditangkepinya,ditangkapinnya
ditangung,ditanggung
ditaro,ditaruh
ditarok,ditaruh
ditelen,ditelan
ditemeni,ditemani
ditemenin,ditemani
